200.73.128.5	8080	AR	Argentina	anonymous	no	yes	10 minutes ago
45.71.108.18	46114	BR	Brazil	elite proxy	no	yes	10 minutes ago
111.92.240.134	30598	KH	Cambodia	elite proxy	no	yes	10 minutes ago
78.29.42.10	4550	RU	Russian Federation	elite proxy	no	yes	11 minutes ago
202.6.224.52	8080	ID	Indonesia	elite proxy	no	yes	11 minutes ago
103.86.156.150	43122	ID	Indonesia	elite proxy	no	yes	11 minutes ago
218.48.229.131	808	KR	Korea	elite proxy	no	yes	11 minutes ago
176.119.134.31	23500	ES	Spain	elite proxy	no	yes	11 minutes ago
142.93.40.242	8080	GB	United Kingdom	elite proxy	no	yes	11 minutes ago
186.42.173.122	42589	EC	Ecuador	elite proxy	no	yes	11 minutes ago
202.162.201.94	53281	ID	Indonesia	elite proxy	no	yes	11 minutes ago
118.172.201.32	53525	TH	Thailand	elite proxy	no	yes	11 minutes ago
203.189.143.201	65309	KH	Cambodia	elite proxy	no	yes	21 minutes ago
103.216.82.206	6666	IN	India	elite proxy	no	yes	21 minutes ago
103.96.37.178	8080	BD	Bangladesh	anonymous	no	yes	21 minutes ago
202.154.180.53	52937	ID	Indonesia	elite proxy	no	yes	21 minutes ago
103.243.82.198	37358	BD	Bangladesh	elite proxy	no	yes	21 minutes ago
